query;title;url;abstract;authors;date;downloads;score;journal
"""Bacteriophage""";A nucleus-like compartment shields bacteriophage DNA from CRISPR-Cas and restriction nucleases;https://www.biorxiv.org/content/10.1101/370791v1;All viruses require strategies to inhibit or evade the immunity pathways of cells they infect.  The viruses that infect bacteria, bacteriophages (phages), must avoid nucleic-acid targeting immune pathways such as CRISPR-Cas and restriction endonucleases to replicate efficiently1.;Senén D. Mendoza ... Joseph Bondy-Denomy;2018-07-17;2428;1.0;missing
"""Bacteriophage""";Bacteriophage cooperation suppresses CRISPR-Cas3 and Cas9 immunity;https://www.biorxiv.org/content/10.1101/279141v2;Bacteria utilize CRISPR-Cas adaptive immune systems for protection from bacteriophages (phages), and some phages produce anti-CRISPR (Acr) proteins that inhibit immune function.  Despite thorough mechanistic and structural information for some Acr proteins, how they are deployed and utilized by a phage during infection is unknown.;Adair L. Borges ... Joseph Bondy-Denomy;2018-03-08;1594;1.0;missing
"""Bacteriophage""";ΦCrAss001, a member of the most abundant bacteriophage family in the human gut, infects Bacteroides;https://www.biorxiv.org/content/10.1101/354837v1;ΦCrAss001, isolated from human faecal material, is the first member of the extensive crAssphage family to be grown in pure culture.  The bacteriophage infects the human gut symbiont Bacteroides intestinalis, confirming in silico predictions of the likely host.;Andrey N. Shkoporov ... Colin Hill;2018-06-26;1206;1.0;missing
"""Bacteriophage""";PhageTerm: a Fast and User-friendly Software to Determine Bacteriophage Termini and Packaging Mode using randomly fragmented NGS data;https://www.biorxiv.org/content/10.1101/108100v2;Bacteriophages are the most abundant viruses on earth and display an impressive genetic as well as morphologic diversity.  Among those, the most common order of phages is the Caudovirales, whose viral particles packages linear double stranded DNA (dsDNA).;Julian Garneau ... Marc Monot;2017-02-15;1195;1.0;missing
"""Bacteriophage""";Analysis of Spounaviruses as a Case Study for the Overdue Reclassification of Tailed Bacteriophages;https://www.biorxiv.org/content/10.1101/220434v2;It is almost a cliche that tailed bacteriophages of the order Caudovirales are the most abundant and diverse viruses in the world.  Yet, their taxonomy still consists of a single order with just three families: Myoviridae, Siphoviridae, and Podoviridae.;Jakub Barylski ... Evelien M. Adriaenssens;2017-11-16;1139;1.0;missing
"""Bacteriophage""";Independent Co-option of a Tailed Bacteriophage into a Killing Complex in Pseudomonas;https://www.biorxiv.org/content/10.1101/011486v4;Competition between microbes is widespread in nature, especially among those that are closely related.  To combat competitors, bacteria have evolved numerous protein-based systems (bacteriocins) that kill strains closely related to the producer.;Kevin L. Hockett ... David A. Baltrus;2014-11-16;1124;1.0;missing
"""Bacteriophage""";Biology and taxonomy of crAss-like bacteriophages, the most abundant virus in the human gut;https://www.biorxiv.org/content/10.1101/295642v2;CrAssphage is yet to be cultured even though it represents the most abundant virus in the gut microbiota of humans.  Recently, sequence based classification was performed on distantly related crAss-like phages from multiple environments, leading to the proposal of a familial level taxonomic group [Yutin N, et al.;Emma Guerin ... Colin Hill;2018-04-06;1116;1.0;missing
"""Bacteriophage""";Safety and Tolerability of Bacteriophage Therapy in Severe Staphylococcus aureus Infection;https://www.biorxiv.org/content/10.1101/619999v1;Importance: The effect of IV administration of a bacteriophage cocktail produced under GMP conditions on patients with severe S.  aureus infection, including complicated bacteraemia, endocarditis and septic shock, is unknown.;Aleksandra Petrovic Fabijan ... AmpliPhi Biosciences Corporation;2019-04-26;1053;1.0;missing
"""Bacteriophage""";Biogeography & environmental conditions shape bacteriophage-bacteria networks across the human microbiome;https://www.biorxiv.org/content/10.1101/144642v4;Viruses and bacteria are critical components of the human microbiome and play important roles in health and disease.  Most previous work has relied on studying bacteria and viruses independently, thereby reducing them to two separate communities.;Geoffrey D. Hannigan ... Patrick D. Schloss;2017-05-31;1253;0.71;missing
"""Bacteriophage""";Nanopore DNA Sequencing and Genome Assembly on the International Space Station;https://www.biorxiv.org/content/10.1101/077651v1;The emergence of nanopore-based sequencers greatly expands the reach of sequencing into low-resource field environments, enabling in situ molecular analysis.  In this work, we evaluated the performance of the MinION DNA sequencer (Oxford Nanopore Technologies) in-flight on the International Space Station (ISS), and benchmarked its performance off-Earth against the MinION, Illumina MiSeq, and PacBio RS II sequencing platforms in terrestrial laboratories.;Sarah L Castro-Wallace ... Aaron S. Burton;2016-09-27;5067;0.43;missing
"""Bacteriophage""";Serological and metagenomic interrogation of cerebrospinal fluid implicates enteroviruses in pediatric acute flaccid myelitis;https://www.biorxiv.org/content/10.1101/666230v2;Background: Since 2014, the United States has experienced a biennial spike in pediatric acute flaccid myelitis (AFM).  Epidemiologic evidence suggests non-polio enteroviruses (EVs) are a potential etiology, yet EV RNA is rarely detected in cerebrospinal fluid (CSF) and only inconsistently identified from the respiratory tract, serum, or stool.;Ryan D Schubert ... Michael R. Wilson;2019-06-10;3336;0.43;missing
"""Bacteriophage""";Large-scale analyses of human microbiomes reveal thousands of small, novel genes and their predicted functions;https://www.biorxiv.org/content/10.1101/494179v1;Small proteins likely abound in prokaryotes, and may mediate much of the communication that occurs between organisms within a microbiome and their host.  Unfortunately, small proteins are traditionally overlooked in biology, in part due to the computational and experimental difficulties in detecting them.;Hila Sberro ... Ami S. Bhatt;2018-12-13;1796;0.43;missing
"""Bacteriophage""";Nasty Prophages and the Dynamics of Antibiotic-Tolerant Persister Cells;https://www.biorxiv.org/content/10.1101/200477v2;Bacterial persisters are phenotypic variants that survive antibiotic treatment in a dormant state and can be formed by multiple pathways.  We recently proposed that the second messenger (p)ppGpp drives Escherichia coli persister formation through protease Lon and the activation of toxin-antitoxin (TA) modules.;Alexander Harms ... Kenn Gerdes;2017-10-09;1739;0.43;missing
"""Bacteriophage""";Deconstructing cell-free extract preparation for in vitro activation of transcriptional genetic circuitry;https://www.biorxiv.org/content/10.1101/411785v1;Recent advances in cell-free gene expression (CFE) systems have enabled their use for a host of synthetic biology applications, particularly for rapid prototyping of genetic circuits designed as biosensors.  Despite the proliferation of cell-free protein synthesis platforms, the large number of currently existing protocols for making CFE extracts muddles the collective understanding of how the method by which an extract is prepared affects its functionality.;Adam D. Silverman ... Michael C. Jewett;2018-09-08;1663;0.43;missing
"""Bacteriophage""";Temperature-responsive competitive inhibition of CRISPR-Cas9;https://www.biorxiv.org/content/10.1101/407718v1;CRISPR-Cas immune systems utilize RNA-guided nucleases to protect bacteria from bacteriophage infection.  Bacteriophages have in turn evolved inhibitory anti-CRISPR (Acr)proteins, including six inhibitors (AcrIIA1-6) that can block DNA cutting and genome editing by type II-A CRISPR-Cas9 enzymes.;Fuguo Jiang ... Jennifer A. Doudna;2018-09-03;1447;0.43;missing
"""Bacteriophage""";A CRISPR-Based Yeast Two-Hybrid System For Investigating RNA-Protein Interactions;https://www.biorxiv.org/content/10.1101/139600v2;Despite the great importance of RNA-protein interactions in cells, there is a very limited set of approaches available for identifying proteins that bind to a specific RNA.  We report here combining the use of CRISPR technology with the yeast two-hybrid protein-protein interaction system in order to create an advantageous method for investigating RNA-protein interactions.;Evan P. Hass ... David C. Zappulla;2017-05-19;1427;0.43;missing
"""Bacteriophage""";The human gut virome is highly diverse, stable and individual-specific;https://www.biorxiv.org/content/10.1101/657528v1;The human gut contains a vast array of viruses, mostly bacteriophages.  The majority remain uncharacterised and their roles in shaping the gut microbiome and in impacting on human health remain poorly understood.;Andrey N. Shkoporov ... Colin Hill;2019-06-03;1391;0.43;missing
"""Bacteriophage""";A de novo DNA Sequencing and Variant Calling Algorithm for Nanopores;https://www.biorxiv.org/content/10.1101/019448v1;The single-molecule accuracy of nanopore sequencing has been an area of rapid academic and commercial advancement, but remains insufficient for the de novo analysis of genomes.  We introduce here a novel algorithm for the error correction of nanopore data, utilizing statistical models of the physical system in order to obtain high accuracy de novo sequences at a range of coverage depths.;Tamas Szalay ... Jene A Golovchenko;2015-05-19;1363;0.43;missing
"""Bacteriophage""";How to name and classify your phage: an informal guide;https://www.biorxiv.org/content/10.1101/111526v1;With this informal guide, we try to assist both new and experienced phage researchers through two important stages that follow phage discovery, i. e.;Evelien M. Adriaenssens ... J. Rodney Brister;2017-02-24;1265;0.43;missing
"""Bacteriophage""";Megaphage infect Prevotella and variants are widespread in gut microbiomes;https://www.biorxiv.org/content/10.1101/356790v1;Bacteriophage (phage) dramatically shape microbial community composition, redistribute nutrients via host lysis, and drive evolution through horizontal gene transfer.  Despite their importance, much remains to be learned about phage in the human microbiome.;Audra E. Devoto ... Jillian F. Banfield;2018-06-27;1250;0.43;missing
"""Bacteriophage""";Eukaryotic Association Module in Phage WO Genomes from Wolbachia;https://www.biorxiv.org/content/10.1101/049049v3;Viruses are trifurcated into eukaryotic, archaeal and bacterial categories.  This domain-specific ecology underscores why eukaryotic viruses typically co-opt eukaryotic genes and bacteriophages commonly harbor bacterial genes.;Sarah R Bordenstein ... Seth R. Bordenstein;2016-04-16;1223;0.43;missing
"""Bacteriophage""";The Diagnostic Potential & Interactive Dynamics of the Colorectal Cancer Virome;https://www.biorxiv.org/content/10.1101/152868v3;Viruses are associated with many human cancers, largely due to their mutagenic and functionally manipulative abilities.  Despite this, cancer microbiome studies have almost exclusively focused on bacteria instead of viruses.;Geoffrey D. Hannigan ... Patrick D. Schloss;2017-06-20;1191;0.43;missing
"""Bacteriophage""";Synthetic DNA templates for the production of in situ hybridization probes;https://www.biorxiv.org/content/10.1101/108613v1;Generating RNA riboprobes for in situ hybridization generally requires the use of plasmids, which must be grown in bacteria, isolated, purified, and linearized prior to in vitro transcription.  Here we report a simple method for generating DNA templates for the in vitro transcription of RNA probes from synthetic DNA (IDT gBlocks).;B. Rodney Jarvis ... Brian G. Condie;2017-02-14;1160;0.43;missing
"""Bacteriophage""";Potent Cas9 inhibition in bacterial and human cells by new anti-CRISPR protein families;https://www.biorxiv.org/content/10.1101/350504v1;CRISPR-Cas systems are widely used for genome engineering technologies, and in their natural setting, they play crucial roles in bacterial and archaeal adaptive immunity, protecting against phages and other mobile genetic elements.  Previously we discovered bacteriophage-encoded Cas9-specific anti-CRISPR (Acr) proteins that serve as countermeasures against host bacterial immunity by inactivating their CRISPR-Cas systems.;Jooyoung Lee ... Erik J. Sontheimer;2018-06-20;1083;0.43;missing
"""Bacteriophage""";Long-term genomic coevolution of host-parasite interaction in the natural environment;https://www.biorxiv.org/content/10.1101/101576v2;The antagonistic coevolution of parasite infectivity and host resistance alters the biological functionality of species, with effects spanning to communities and ecosystems.  Still, studies describing long-term host-parasite coevolutionary dynamics in nature are largely missing.;Elina Laanto ... Lotta-Riina Sundberg;2017-01-19;1034;0.43;missing
"""Cell engineering""";A Toolkit for Rapid Modular Construction of Biological Circuits in Mammalian Cells;https://www.biorxiv.org/content/10.1101/506188v2;The ability to rapidly assemble and prototype cellular circuits is vital for biological research and its applications in biotechnology and medicine.  Current methods that permit the assembly of DNA circuits in mammalian cells are laborious, slow, expensive and mostly not permissive of rapid prototyping of constructs.;João Pedro Fonseca ... Hana El-Samad;2018-12-26;2017;0.43;missing
"""Cell engineering""";A molecular cell atlas of the human lung from single cell RNA sequencing;https://www.biorxiv.org/content/10.1101/742320v2;Although single cell RNA sequencing studies have begun providing compendia of cell expression profiles, it has proven more difficult to systematically identify and localize all molecular cell types in individual organs to create a full molecular cell atlas.  Here we describe droplet- and plate-based single cell RNA sequencing applied to ~75,000 human lung and blood cells, combined with a multi-pronged cell annotation approach, which have allowed us to define the gene expression profiles and anatomical locations of 58 cell populations in the human lung, including 41 of 45 previously known cell types or subtypes and 14 new ones.;Kyle J Travaglini ... Mark A Krasnow;2019-08-27;7426;0.14;missing
"""Cell engineering""";Reprogramming human T cell function and specificity with non-viral genome targeting;https://www.biorxiv.org/content/10.1101/183418v3;Human T cells are central to physiological immune homeostasis, which protects us from pathogens without collateral autoimmune inflammation.  They are also the main effectors in most current cancer immunotherapy strategies.;Theodore L. Roth ... Alexander Marson;2017-08-31;7246;0.14;missing
"""Cell engineering""";High Aspect Ratio Nanomaterials Enable Delivery of Functional Genetic Material Without DNA Integration in Mature Plants;https://www.biorxiv.org/content/10.1101/179549v3;Genetic engineering of plants is at the core of sustainability efforts, natural product synthesis, and agricultural crop engineering.  The plant cell wall is a barrier that limits the ease and throughput with which exogenous biomolecules can be delivered to plants.;Gozde S. Demirer ... Markita P. Landry;2017-08-22;6945;0.14;missing
"""Cell engineering""";Rapidly evolving homing CRISPR barcodes;https://www.biorxiv.org/content/10.1101/055863v3;We present here an approach for engineering evolving DNA barcodes in living cells.  The methodology entails using a homing guide RNA (hgRNA) scaffold that directs the Cas9-hgRNA complex to target the DNA locus of the hgRNA itself.;Reza Kalhor ... George M. Church;2016-05-27;5924;0.14;missing
"""Cell engineering""";Enabling large-scale genome editing by reducing DNA nicking;https://www.biorxiv.org/content/10.1101/574020v2;To extend the frontier of genome editing and enable the radical redesign of mammalian genomes, we developed a set of dead-Cas9 base editor (dBE) variants that allow editing at tens of thousands of loci per cell by overcoming the cell death associated with DNA double-strand breaks (DSBs) and single-strand breaks (SSBs).  We used a set of gRNAs targeting repetitive elements - ranging in target copy number from about 31 to 124,000 per cell.;Cory J. Smith ... George M. Church;2019-03-15;5620;0.14;missing
"""Cell engineering""";Fast two-photon volumetric imaging of an improved voltage indicator reveals electrical activity in deeply located neurons in the awake brain;https://www.biorxiv.org/content/10.1101/445064v2;Imaging of transmembrane voltage deep in brain tissue with cellular resolution has the potential to reveal information processing by neuronal circuits in living animals with minimal perturbation.  Multi-photon voltage imaging in vivo, however, is currently limited by speed and sensitivity of both indicators and imaging methods.;Mariya Chavarha ... Michael Z. Lin;2018-10-17;3927;0.14;missing
"""Cell engineering""";Resource usage and gene circuit performance characterization in a cell-free ?breadboard?;https://www.biorxiv.org/content/10.1101/000885v4;"The many successes of synthetic biology have come in a manner largely different from those in other engineering disciplines; in particular, without well-characterized and simplified prototyping environments to play a role analogous to wind-tunnels in aerodynamics and breadboards in electrical engineering.  However, as the complexity of synthetic circuits increases, the benefits?in cost savings and design cycle time?of a more traditional engineering approach can be significant.";Dan Siegal-Gaskins ... Richard M. Murray;2013-11-25;3847;0.14;missing
"""Cell engineering""";Silk assembly integrates cells into a 3D fibrillar network that promotes cell spreading and proliferation;https://www.biorxiv.org/content/10.1101/403345v1;Tissues are built of cells integrated in an extracellular matrix (ECM) which provides a three-dimensional (3D) fibrillar network with specific sites for cell anchorage.  By genetic engineering, motifs from the ECM can be functionally fused to recombinant silk proteins.;Ulrika Johansson ... My Hedhammar;2018-08-29;3724;0.14;missing
"""Cell engineering""";Deep convolutional and recurrent neural networks for cell motility discrimination and prediction;https://www.biorxiv.org/content/10.1101/159202v5;Cells in culture display diverse motility behaviors that may reflect differences in cell state and function, providing motivation to discriminate between different motility behaviors.  Current methods to do so rely upon manual feature engineering.;Jacob C. Kimmel ... Wallace F. Marshall;2017-07-03;3680;0.14;missing
"""Cell engineering""";c-Jun Overexpressing CAR-T Cells are Exhaustion-Resistant and Mediate Enhanced Antitumor Activity;https://www.biorxiv.org/content/10.1101/653725v1;CAR T cells mediate antitumor effects in a small subset of cancer patients, but dysfunction due to T cell exhaustion is an important barrier to progress.  To investigate the biology of exhaustion in human T cells expressing CAR receptors, we used a model system employing a tonically signaling CAR, which induces hallmarks of exhaustion described in other settings.;Rachel C. Lynn ... Crystal L. Mackall;2019-05-29;3251;0.14;missing
"""Cell engineering""";New human chromosomal safe harbor sites for genome engineering with CRISPR/Cas9, TAL effector and homing endonucleases;https://www.biorxiv.org/content/10.1101/396390v1;Safe Harbor Sites (SHS) are genomic locations where new genes or genetic elements can be introduced without disrupting the expression or regulation of adjacent genes.  We have identified 35 potential new human SHS in order to substantially expand SHS options beyond the three widely used canonical human SHS, AAVS1, CCR5 and hROSA26.;Stefan Pellenz ... Raymond J Monnat;2018-08-20;3109;0.14;missing
"""Cell engineering""";P53 toxicity is a hurdle to CRISPR/CAS9 screening and engineering in human pluripotent stem cells;https://www.biorxiv.org/content/10.1101/168443v1;CRISPR/Cas9 has revolutionized our ability to engineer genomes and to conduct genome-wide screens in human cells.  While some cell types are easily modified with Cas9, human pluripotent stem cells (hPSCs) poorly tolerate Cas9 and are difficult to engineer.;Robert J Ihry ... Ajamete Kaykas;2017-07-26;3042;0.14;missing
"""Cell engineering""";High-precision CRISPR-Cas9 base editors with minimized bystander and off-target mutations;https://www.biorxiv.org/content/10.1101/273938v1;Recently described base editor (BE) technology, which uses CRISPR-Cas9 to direct cytidine deaminase enzymatic activity to specific genomic loci, enables the highly efficient introduction of precise cytidine-to-thymidine (C to T) DNA alterations in many different cell types and organisms.  In contrast to genome-editing nucleases, BEs avoid the need to introduce double-strand breaks or exogenous donor DNA templates and induce lower levels of unwanted variable-length insertion/deletion mutations (indels).;Jason M. Gehrke ... J. Keith Joung;2018-03-01;3012;0.14;missing
"""Cell engineering""";Barcoded Rational AAV Vector Evolution enables systematic in vivo mapping of peptide binding motifs;https://www.biorxiv.org/content/10.1101/335372v1;Engineering of Adeno-associated viral (AAV) vector capsids through directed evolution has been used to generate novel capsids with altered tropism and function.  This approach, however, involves a selection process that requires multiple generations of screenings to identify real functional capsids.;Marcus Davidsson ... Tomas Björklund;2018-05-31;3000;0.14;missing
"""Cell engineering""";A versatile two-step CRISPR- and RMCE-based strategy for efficient genome engineering in Drosophila;https://www.biorxiv.org/content/10.1101/007864v1;The development of CRISPR/Cas9 technologies promises a quantum leap in genome-engineering of model organisms.  However, CRISPR-mediated gene targeting reports in Drosophila are still restricted to a few genes, use variable experimental conditions and vary in efficiency, questioning the universal applicability of the method.;Xu Zhang ... Frank Schnorrer;2014-08-11;2823;0.14;missing
"""Cell engineering""";Machine learning-guided channelrhodopsin engineering enables minimally-invasive optogenetics;https://www.biorxiv.org/content/10.1101/565606v1;We have engineered light-gated channelrhodopsins (ChRs) whose current strength and light sensitivity enable minimally-invasive neuronal circuit interrogation.  Current ChR tools applied to the mammalian brain require intracranial surgery for transgene delivery and implantation of invasive fiber-optic cables to produce light-dependent activation of a small volume of brain tissue [~1 mm3].;Claire N Bedbrook ... Frances H Arnold;2019-03-03;2652;0.14;missing
"""Cell engineering""";In Vivo Blunt-End Cloning Through CRISPR/Cas9-Facilitated Non-Homologous End-Joining;https://www.biorxiv.org/content/10.1101/019570v2;The ability to precisely modify the genome in a site-specific manner is extremely useful.  The CRISPR/Cas9 system facilitates precise modifications by generating RNA-guided double-strand breaks.;Jonathan M. Geisinger ... Michele P Calos;2015-05-21;2570;0.14;missing
"""Cell engineering""";A conserved oomycete CRN effector targets and modulates tomato TCP14-2 to enhance virulence;https://www.biorxiv.org/content/10.1101/001248v1;Phytophthora spp.  secrete vast arrays of effector molecules upon infection.;Remco Stam ... Edgar Huitema;2013-12-11;2558;0.14;missing
"""Cell engineering""";A genetically encoded inhibitor of 53BP1 to stimulate homology-based gene editing;https://www.biorxiv.org/content/10.1101/060954v2;The expanding repertoire of programmable nucleases such as Cas9 brings new opportunities in genetic medicine.  In many cases, these nucleases are engineered to induce a DNA double-strand break (DSB) to stimulate precise genome editing by homologous recombination (HR).;Marella D. Canny ... Daniel Durocher;2016-06-28;2374;0.14;missing
"""Cell engineering""";LADL: Light-activated dynamic looping for endogenous gene expression control;https://www.biorxiv.org/content/10.1101/349340v2;Mammalian genomes are folded into tens of thousands of long-range looping interactions.  The cause and effect relationship between looping and genome function is poorly understood, and the extent to which chromatin loops are dynamic on short time scales remains a fundamental unanswered question.;Mayuri Rege ... Jennifer E. Phillips-Cremins;2018-06-18;2346;0.14;missing
"""Cell engineering""";Imaging cell lineage with a synthetic digital recording system;https://www.biorxiv.org/content/10.1101/2020.02.21.958678v1;Multicellular development depends on the differentiation of cells into specific fates with precise spatial organization.  Lineage history plays a pivotal role in cell fate decisions, but is inaccessible in most contexts.;Ke-Huan K Chow ... Michael B. Elowitz;2020-02-25;2345;0.14;missing
"""Cell engineering""";Improved Split Fluorescent Proteins For Endogenous Protein Labeling;https://www.biorxiv.org/content/10.1101/137059v3;Self-complementing split fluorescent proteins (FPs) have been widely used for protein labeling, visualization of subcellular protein localization, and detection of cell-cell contact.  To expand this toolset, we have developed a screening strategy for the direct engineering of self-complementing split FPs.;Siyu Feng ... Bo Huang;2017-05-12;2341;0.14;missing
"""Cell engineering""";A CRISPR-Cas9 Genome Engineering Platform in Primary CD4+ T Cells for the Interrogation of HIV Host Factors;https://www.biorxiv.org/content/10.1101/205500v1;CRISPR-Cas9 gene editing strategies have revolutionized our ability to engineer the human genome for robust functional interrogation of complex biological processes.  We have recently adapted this technology to primary human T cells to generate a high-throughput platform for analyzing the role of host factors in pathogen infection and lifecycle.;Judd F. Hultquist ... Nevan J. Krogan;2017-10-19;2176;0.14;missing
"""Cell engineering""";Extensive Mammalian Germline Genome Engineering;https://www.biorxiv.org/content/10.1101/2019.12.17.876862v3;Xenotransplantation, specifically the use of porcine organs for human transplantation, has long been sought after as an alternative for patients suffering from organ failure.  However, clinical application of this approach has been impeded by two main hurdles: 1) risk of transmission of porcine endogenous retroviruses (PERVs) and 2) molecular incompatibilities between donor pigs and humans which culminate in rejection of the graft.;Yanan Yue ... Luhan Yang;2019-12-19;2028;0.14;missing
"""Synthetic notch""";SNAPS: A toolkit for studying cell surface shedding of diverse transmembrane receptors;https://www.biorxiv.org/content/10.1101/436592v2;Proteolysis of transmembrane receptors is a critical cellular communication mechanism often dysregulated in disease, yet proteolytic regulation mechanisms of ~400 receptors estimated to be cleaved from the surface remain elusive due to difficulties in controlling stimulus or unknown fates of cleavage products.  In Notch receptors, intercellular forces drive exposure of a cryptic protease site within a juxtamembrane proteolytic switch domain to activate transcriptional programs inside the cell.;Amanda N Hayward ... Wendy R. Gordon;2018-10-05;673;0.43;missing
"""Synthetic notch""";Post-translational covalent assembly of CAR and synNotch receptors for programmable antigen targeting;https://www.biorxiv.org/content/10.1101/2020.01.17.909895v1;Chimeric antigen receptors (CARs) and synthetic Notch (synNotch) receptors are engineered cell-surface receptors that sense a target antigen and respond by activating T cell receptor signaling or a customized gene program, respectively.  To expand the targeting capabilities of these receptors, we have developed switchable adaptor receptor systems for which receptor specificity can be directed post-translationally via covalent attachment of a co-administered antibody.;Jason Lohmueller ... Olivera J. Finn;2020-01-17;364;0.43;missing
"""Synthetic notch""";A screen for targets of the Drosophila pseudokinase Tribbles identifies Neuralized and Mindbomb, ubiquitin ligases that mediate Notch signaling;https://www.biorxiv.org/content/10.1101/406249v2;Drosophila Tribbles (Trbl) is the founding member of a family of pseudokinases with conserved roles in antagonizing cell division, tissue growth and cell differentiation.  In humans, three Tribbles isoforms serve as adaptor proteins, binding targets such as Cdc25 phosphatase, Akt kinase or the transcription factor C/EBP to block their activity or direct their proteosomal degradation.;Anna Shipman ... Leonard L. Dobens;2018-08-31;410;0.14;missing
"""Synthetic notch""";Secretogranin-II Plays A Critical Role In Zebrafish Neurovascular Modeling;https://www.biorxiv.org/content/10.1101/123125v1;Secretoneurin (SN) is a neuropeptide derived from specific proteolytic processing of the precursor secretogranin II (SgII).  In zebrafish and other teleosts there are 2 paralogs we previously named sgIIa and sgIIb.;Binbin Tao ... Wei Hu;2017-04-01;387;0.14;missing
"""Synthetic notch""";Tetraspanin Tspan15 is an essential subunit of an ADAM10 scissor complex;https://www.biorxiv.org/content/10.1101/800557v1;A disintegrin and metalloprotease 10 (ADAM10) is essential for embryonic development and impacts on diseases such as cancer, Alzheimer's and inflammatory diseases.  ADAM10 is a molecular scissor that proteolytically cleaves the extracellular region from over 100 substrates, including Notch, amyloid precursor protein, cadherins, growth factors and chemokines.;Chek Ziu Koo ... Michael G. Tomlinson;2019-10-11;271;0.14;missing
"""Gamma delta T cell""";Multivariate Computational Analysis of Gamma Delta T cell Inhibitory Receptor Signatures Reveals the Divergence of Healthy and ART-Suppressed HIV+ Aging;https://www.biorxiv.org/content/10.1101/412312v2;Even with effective viral control, HIV-infected individuals are at a higher risk for morbidities associated with older age than the general population, and these serious non-AIDS events (SNAEs) track with plasma inflammatory and coagulation markers.  The cell subsets driving inflammation in aviremic HIV infection are not yet elucidated.;Anna C. Belkina ... Jennifer E. Snyder-Cappione;2018-09-10;678;1.0;missing
"""Gamma delta T cell""";ImmuCellAI: a unique method for comprehensive T-cell subsets abundance prediction and its application in cancer immunotherapy;https://www.biorxiv.org/content/10.1101/872184v1;The distribution and abundance of immune cells, particularly T-cell subsets, play pivotal roles in cancer immunology and therapy.  There are many T-cell subsets with specific function, however current methods are limited in estimating them, thus, a method for predicting comprehensive T-cell subsets is urgently needed in cancer immunology research.;Ya-Ru Miao ... An-Yuan Guo;2019-12-11;330;0.43;missing
"""Gamma delta T cell""";Genomic V-gene repertoire in reptiles;https://www.biorxiv.org/content/10.1101/002618v1;Reptiles and mammals diverged over 300 million years ago, creating two parallel evolutionary lineages amongst terrestrial vertebrates.  In reptiles, two main evolutionary lines emerged, one gave rise to Squamata, while the other gave rise to Testudines, Crocodylia and birds.;David N Olivieri ... Francisco Gambón-Deza;2014-02-12;534;0.14;missing
"""Gamma delta T cell""";Systematic profiling of full-length immunoglobulin and T-cell receptor repertoire diversity in rhesus macaque through long read transcriptome sequencing;https://www.biorxiv.org/content/10.1101/782938v3;The diversity of immunoglobulin (Ig) and T-cell receptor (TCR) repertoires is a focal point of immunological studies.  Rhesus macaques are key for modeling human immune responses, placing critical importance on the accurate annotation and quantification of their Ig and TCR repertoires.;Hayden N. Brochu ... Xinxia Peng;2019-09-26;444;0.14;missing
"""Gamma delta T cell""";Single-Cell Mass Cytometry on Peripheral Blood Identifies Immune Cell Subsets Associated with Primary Biliary Cholangitis;https://www.biorxiv.org/content/10.1101/2020.02.24.962043v1;The relationship between Primary Biliary Cholangitis (PBC), a chronic cholestatic autoimmune liver disease, and the peripheral immune system remains to be fully understood.  Herein, we performed the first mass cytometry (CyTOF)-based, immunophenotyping analysis of the peripheral immune system in PBC at single-cell resolution.;Jin Sung Jang ... Konstantinos N Lazaridis;2020-02-25;148;0.14;missing
"""mTOR""";ATR and mTOR regulate F-actin to alter nuclear architecture and repair replication stress;https://www.biorxiv.org/content/10.1101/451708v3;The replication stress response is essential to maintain genome health.  Here we set out to determine whether nuclear actin, an emerging regulator of many cellular functions, participates in the replication stress response.;Noa Lamm ... Anthony J. Cesare;2018-10-24;1237;1.0;missing
"""mTOR""";Recessive inactivating mutations in TBCK, encoding a Rab GTPase-activating protein that modulates mTOR signaling, cause severe infantile syndromic encephalopathy;https://www.biorxiv.org/content/10.1101/036111v1;Infantile encephalopathies are a group of clinically and biologically heterogeneous disorders for which the genetic basis remains largely unknown.  Here, we report a previously unrecognized syndromic neonatal encephalopathy characterized by profound developmental disability, severe hypotonia, seizures, diminished respiratory drive requiring mechanical ventilation, brain atrophy, corpus callosum dysgenesis, cerebellar vermis hypoplasia, and facial dysmorphism.;Dan Doherty ... Univ of Washington Center for Mendelian Genomics;2016-01-06;946;1.0;missing
"""mTOR""";Kinome rewiring reveals AURKA is a molecular barrier to the efficacy of PI3K/mTOR-pathway inhibitors in breast cancer;https://www.biorxiv.org/content/10.1101/158295v1;Dysregulation of the PI3K-AKT-mTOR signaling network is a prominent feature of breast cancers.  However, clinical responses to drugs targeting this pathway have been modest.;Hayley J. Donnella ... Sourav Bandyopadhyay;2017-06-30;935;1.0;missing
"""mTOR""";Tsc1-mTOR signaling controls the structure and function of midbrain dopamine neurons;https://www.biorxiv.org/content/10.1101/376814v1;mTOR complex 1 (mTORC1) is a central coordinator of cell growth and metabolism.  Mutations in regulators of mTORC1 cause syndromic disorders with a high prevalence of cognitive and psychiatric conditions.;Polina Kosillo ... Helen S. Bateup;2018-07-25;693;1.0;missing
